=== 算法运行日志 ===
时间戳: 20250517_175601

== 参数配置 ==
ants: 10
iterations: 200
evaporation_rate: 0.5
alpha: 1
beta: 2

== 迭代记录 ==
Iteration 1: 559.093689
Iteration 2: 698.521912
Iteration 3: 1252.824707
Iteration 4: 1252.824707
Iteration 5: 1252.824707
Iteration 6: 1252.824707
Iteration 7: 1290.417358
Iteration 8: 1290.417358
Iteration 9: 1290.417358
Iteration 10: 1290.417358
Iteration 11: 1290.417358
Iteration 12: 1362.839233
Iteration 13: 1362.839233
Iteration 14: 1362.839233
Iteration 15: 1362.839233
Iteration 16: 1362.839233
Iteration 17: 1479.099121
Iteration 18: 1479.099121
Iteration 19: 1479.099121
Iteration 20: 1479.099121
Iteration 21: 1479.099121
Iteration 22: 1479.099121
Iteration 23: 1479.099121
Iteration 24: 1479.099121
Iteration 25: 1479.099121
Iteration 26: 1479.099121
Iteration 27: 1479.099121
Iteration 28: 1479.099121
Iteration 29: 1479.099121
Iteration 30: 1479.099121
Iteration 31: 1479.099121
Iteration 32: 1479.099121
Iteration 33: 1479.099121
Iteration 34: 1479.099121
Iteration 35: 1479.099121
Iteration 36: 1479.099121
Iteration 37: 1479.099121
Iteration 38: 1479.099121
Iteration 39: 1479.099121
Iteration 40: 1479.099121
Iteration 41: 1479.099121
Iteration 42: 1479.099121
Iteration 43: 1479.099121
Iteration 44: 1479.099121
Iteration 45: 1479.099121
Iteration 46: 1479.099121
Iteration 47: 1479.099121
Iteration 48: 1479.099121
Iteration 49: 1479.099121
Iteration 50: 1479.099121
Iteration 51: 1479.099121
Iteration 52: 1479.099121
Iteration 53: 1479.099121
Iteration 54: 1479.099121
Iteration 55: 1479.099121
Iteration 56: 1479.099121
Iteration 57: 1479.099121
Iteration 58: 1479.099121
Iteration 59: 1479.099121
Iteration 60: 1479.099121
Iteration 61: 1479.099121
Iteration 62: 1479.099121
Iteration 63: 1479.099121
Iteration 64: 1479.099121
Iteration 65: 1479.099121
Iteration 66: 1479.099121
Iteration 67: 1479.099121
Iteration 68: 1479.099121
Iteration 69: 1479.099121
Iteration 70: 1479.099121
Iteration 71: 1479.099121
Iteration 72: 1479.099121
Iteration 73: 1479.099121
Iteration 74: 1479.099121
Iteration 75: 1479.099121
Iteration 76: 1479.099121
Iteration 77: 1479.099121
Iteration 78: 1479.099121
Iteration 79: 1479.099121
Iteration 80: 1479.099121
Iteration 81: 1479.099121
Iteration 82: 1479.099121
Iteration 83: 1479.099121
Iteration 84: 1479.099121
Iteration 85: 1479.099121
Iteration 86: 1479.099121
