=== 算法运行日志 ===
时间戳: 20250516_214412

== 参数配置 ==
pop_size: 20
generations: 300
mutation_rate: 0.05

== 迭代记录 ==
Iteration 1: 559.195435
Iteration 2: 747.513855
Iteration 3: 1013.799866
Iteration 4: 1128.323120
Iteration 5: 1128.323120
Iteration 6: 1128.323120
Iteration 7: 1128.323120
Iteration 8: 1209.229614
Iteration 9: 1209.229614
Iteration 10: 1385.501831
Iteration 11: 1385.501831
Iteration 12: 1584.553589
Iteration 13: 1584.553589
Iteration 14: 1679.181396
Iteration 15: 1978.923340
Iteration 16: 1978.923340
Iteration 17: 1978.923340
Iteration 18: 1978.923340
Iteration 19: 1978.923340
Iteration 20: 1978.923340
Iteration 21: 1978.923340
Iteration 22: 1978.923340
Iteration 23: 1978.923340
Iteration 24: 1978.923340
Iteration 25: 1978.923340
Iteration 26: 1978.923340
Iteration 27: 1978.923340
Iteration 28: 1978.923340
Iteration 29: 1978.923340
Iteration 30: 1978.923340
Iteration 31: 1978.923340
Iteration 32: 1978.923340
Iteration 33: 1978.923340
Iteration 34: 1978.923340
Iteration 35: 1978.923340
Iteration 36: 1978.923340
Iteration 37: 1978.923340
Iteration 38: 1978.923340
Iteration 39: 1978.923340
Iteration 40: 1978.923340
Iteration 41: 1978.923340
Iteration 42: 1978.923340
Iteration 43: 1978.923340
Iteration 44: 1978.923340
Iteration 45: 1978.923340
Iteration 46: 1978.923340
Iteration 47: 1978.923340
Iteration 48: 1978.923340
Iteration 49: 1978.923340
Iteration 50: 1978.923340
Iteration 51: 1978.923340
Iteration 52: 1978.923340
Iteration 53: 1978.923340
Iteration 54: 1978.923340
Iteration 55: 1978.923340
Iteration 56: 1978.923340
Iteration 57: 1978.923340
Iteration 58: 1978.923340
Iteration 59: 1978.923340
Iteration 60: 1978.923340
Iteration 61: 1978.923340
Iteration 62: 1978.923340
Iteration 63: 1978.923340
Iteration 64: 1978.923340
Iteration 65: 1978.923340
Iteration 66: 1978.923340
Iteration 67: 1978.923340
Iteration 68: 1978.923340
Iteration 69: 1978.923340
Iteration 70: 1978.923340
Iteration 71: 1978.923340
Iteration 72: 1978.923340
Iteration 73: 1978.923340
Iteration 74: 1978.923340
Iteration 75: 1978.923340
Iteration 76: 1978.923340
Iteration 77: 1978.923340
Iteration 78: 1978.923340
Iteration 79: 2004.777588
Iteration 80: 2004.777588
Iteration 81: 2004.777588
Iteration 82: 2004.777588
Iteration 83: 2004.777588
Iteration 84: 2004.777588
Iteration 85: 2004.777588
Iteration 86: 2004.777588
Iteration 87: 2004.777588
Iteration 88: 2004.777588
Iteration 89: 2004.777588
Iteration 90: 2004.777588
Iteration 91: 2004.777588
Iteration 92: 2004.777588
Iteration 93: 2004.777588
Iteration 94: 2004.777588
Iteration 95: 2004.777588
Iteration 96: 2004.777588
Iteration 97: 2004.777588
Iteration 98: 2004.777588
Iteration 99: 2004.777588
Iteration 100: 2004.777588
Iteration 101: 2004.777588
Iteration 102: 2004.777588
Iteration 103: 2004.777588
Iteration 104: 2016.802979
Iteration 105: 2016.802979
Iteration 106: 2016.802979
Iteration 107: 2016.802979
Iteration 108: 2016.802979
Iteration 109: 2016.802979
Iteration 110: 2016.802979
Iteration 111: 2016.802979
Iteration 112: 2016.802979
Iteration 113: 2016.802979
Iteration 114: 2016.802979
Iteration 115: 2016.802979
Iteration 116: 2016.802979
Iteration 117: 2016.802979
Iteration 118: 2016.802979
Iteration 119: 2016.802979
Iteration 120: 2016.802979
Iteration 121: 2016.802979
Iteration 122: 2016.802979
Iteration 123: 2016.802979
Iteration 124: 2016.802979
Iteration 125: 2016.802979
Iteration 126: 2016.802979
Iteration 127: 2016.802979
Iteration 128: 2016.802979
Iteration 129: 2016.802979
Iteration 130: 2016.802979
Iteration 131: 2016.802979
Iteration 132: 2016.802979
Iteration 133: 2016.802979
Iteration 134: 2016.802979
Iteration 135: 2016.802979
Iteration 136: 2016.802979
Iteration 137: 2016.802979
Iteration 138: 2016.802979
Iteration 139: 2016.802979
Iteration 140: 2016.802979
Iteration 141: 2016.802979
Iteration 142: 2016.802979
Iteration 143: 2016.802979
Iteration 144: 2016.802979
Iteration 145: 2016.802979
Iteration 146: 2016.802979
Iteration 147: 2016.802979
Iteration 148: 2016.802979
Iteration 149: 2016.802979
Iteration 150: 2016.802979
Iteration 151: 2016.802979
Iteration 152: 2016.802979
Iteration 153: 2016.802979
Iteration 154: 2016.802979
Iteration 155: 2016.802979
Iteration 156: 2016.802979
Iteration 157: 2016.802979
Iteration 158: 2016.802979
Iteration 159: 2016.802979
Iteration 160: 2016.802979
Iteration 161: 2016.802979
Iteration 162: 2016.802979
Iteration 163: 2016.802979
Iteration 164: 2016.802979
Iteration 165: 2016.802979
Iteration 166: 2016.802979
Iteration 167: 2016.802979
Iteration 168: 2016.802979
Iteration 169: 2016.802979
Iteration 170: 2016.802979
Iteration 171: 2016.802979
Iteration 172: 2016.802979
Iteration 173: 2016.802979
Iteration 174: 2016.802979
Iteration 175: 2016.802979
Iteration 176: 2016.802979
Iteration 177: 2016.802979
Iteration 178: 2016.802979
Iteration 179: 2016.802979
Iteration 180: 2016.802979
Iteration 181: 2016.802979
Iteration 182: 2016.802979
Iteration 183: 2016.802979
Iteration 184: 2016.802979
Iteration 185: 2016.802979
Iteration 186: 2016.802979
Iteration 187: 2016.802979
Iteration 188: 2016.802979
Iteration 189: 2016.802979
Iteration 190: 2016.802979
Iteration 191: 2016.802979
Iteration 192: 2016.802979
Iteration 193: 2016.802979
Iteration 194: 2016.802979
Iteration 195: 2016.802979
Iteration 196: 2016.802979
Iteration 197: 2016.802979
Iteration 198: 2016.802979
Iteration 199: 2016.802979
Iteration 200: 2016.802979
Iteration 201: 2016.802979
Iteration 202: 2016.802979
Iteration 203: 2016.802979
Iteration 204: 2016.802979
Iteration 205: 2016.802979
Iteration 206: 2016.802979
Iteration 207: 2016.802979
Iteration 208: 2016.802979
Iteration 209: 2016.802979
Iteration 210: 2016.802979
Iteration 211: 2016.802979
Iteration 212: 2016.802979
Iteration 213: 2016.802979
Iteration 214: 2016.802979
Iteration 215: 2016.802979
Iteration 216: 2016.802979
Iteration 217: 2016.802979
Iteration 218: 2016.802979
Iteration 219: 2016.802979
Iteration 220: 2016.802979
Iteration 221: 2016.802979
Iteration 222: 2016.802979
Iteration 223: 2016.802979
Iteration 224: 2016.802979
Iteration 225: 2016.802979
Iteration 226: 2016.802979
Iteration 227: 2016.802979
Iteration 228: 2016.802979
Iteration 229: 2016.802979
Iteration 230: 2016.802979
Iteration 231: 2016.802979
Iteration 232: 2016.802979
Iteration 233: 2016.802979
Iteration 234: 2016.802979
Iteration 235: 2016.802979
Iteration 236: 2016.802979
Iteration 237: 2016.802979
Iteration 238: 2016.802979
Iteration 239: 2016.802979
Iteration 240: 2016.802979
Iteration 241: 2016.802979
Iteration 242: 2016.802979
Iteration 243: 2016.802979
Iteration 244: 2016.802979
Iteration 245: 2016.802979
Iteration 246: 2016.802979
Iteration 247: 2016.802979
